subject,skill,diff,text,A,B,C,D,ans,explain,hint1,hint2,hint3
Toán 9,alg_root,1,Rút gọn: √36,5,36,7,6,D,"√(k²)=|k|, với k=6>0 ⇒ 6.",Nhớ: √(a²)=|a|.,Ở đây k>0 nên |k|=k.,Kết luận.
Toán 9,alg_root,1,Rút gọn: √49,49,6,8,7,D,"√(k²)=|k|, với k=7>0 ⇒ 7.",Nhớ: √(a²)=|a|.,Ở đây k>0 nên |k|=k.,Kết luận.
Toán 9,alg_root,1,Rút gọn: √9,9,4,2,3,D,"√(k²)=|k|, với k=3>0 ⇒ 3.",Nhớ: √(a²)=|a|.,Ở đây k>0 nên |k|=k.,Kết luận.
Toán 9,alg_root,1,Rút gọn: √4,2,1,3,4,A,"√(k²)=|k|, với k=2>0 ⇒ 2.",Nhớ: √(a²)=|a|.,Ở đây k>0 nên |k|=k.,Kết luận.
Toán 9,alg_root,1,Rút gọn: √5184,5184,71,72,73,C,"√(k²)=|k|, với k=72>0 ⇒ 72.",Nhớ: √(a²)=|a|.,Ở đây k>0 nên |k|=k.,Kết luận.
Toán 9,alg_root,1,Rút gọn: √400,400,19,20,21,C,"√(k²)=|k|, với k=20>0 ⇒ 20.",Nhớ: √(a²)=|a|.,Ở đây k>0 nên |k|=k.,Kết luận.
Toán 9,alg_root,1,Rút gọn: √400,21,400,19,20,D,"√(k²)=|k|, với k=20>0 ⇒ 20.",Nhớ: √(a²)=|a|.,Ở đây k>0 nên |k|=k.,Kết luận.
Toán 9,alg_root,2,Rút gọn: √576,23,576,24,25,C,"√(k²)=|k|, với k=24>0 ⇒ 24.",Nhớ: √(a²)=|a|.,Ở đây k>0 nên |k|=k.,Kết luận.
Toán 9,alg_root,2,Rút gọn: √729,26,729,28,27,D,"√(k²)=|k|, với k=27>0 ⇒ 27.",Nhớ: √(a²)=|a|.,Ở đây k>0 nên |k|=k.,Kết luận.
Toán 9,alg_root,2,Rút gọn: √576,23,24,25,576,B,"√(k²)=|k|, với k=24>0 ⇒ 24.",Nhớ: √(a²)=|a|.,Ở đây k>0 nên |k|=k.,Kết luận.
Toán 9,alg_root,2,Rút gọn: √144,144,11,12,13,C,"√(k²)=|k|, với k=12>0 ⇒ 12.",Nhớ: √(a²)=|a|.,Ở đây k>0 nên |k|=k.,Kết luận.
Toán 9,alg_root,2,Rút gọn: √729,27,26,729,28,A,"√(k²)=|k|, với k=27>0 ⇒ 27.",Nhớ: √(a²)=|a|.,Ở đây k>0 nên |k|=k.,Kết luận.
Toán 9,alg_root,2,Rút gọn: √576,24,23,25,576,A,"√(k²)=|k|, với k=24>0 ⇒ 24.",Nhớ: √(a²)=|a|.,Ở đây k>0 nên |k|=k.,Kết luận.
Toán 9,alg_root,2,Rút gọn: √25,4,5,6,25,B,"√(k²)=|k|, với k=5>0 ⇒ 5.",Nhớ: √(a²)=|a|.,Ở đây k>0 nên |k|=k.,Kết luận.
Toán 9,alg_root,3,Rút gọn: √729,729,27,26,28,B,"√(k²)=|k|, với k=27>0 ⇒ 27.",Nhớ: √(a²)=|a|.,Ở đây k>0 nên |k|=k.,Kết luận.
Toán 9,alg_root,3,Rút gọn: √9,4,2,3,9,C,"√(k²)=|k|, với k=3>0 ⇒ 3.",Nhớ: √(a²)=|a|.,Ở đây k>0 nên |k|=k.,Kết luận.
Toán 9,alg_root,3,Rút gọn: √25,5,4,6,25,A,"√(k²)=|k|, với k=5>0 ⇒ 5.",Nhớ: √(a²)=|a|.,Ở đây k>0 nên |k|=k.,Kết luận.
Toán 9,alg_root,3,Rút gọn: √2025,45,2025,46,44,A,"√(k²)=|k|, với k=45>0 ⇒ 45.",Nhớ: √(a²)=|a|.,Ở đây k>0 nên |k|=k.,Kết luận.
Toán 9,alg_root,3,Rút gọn: √49,7,6,8,49,A,"√(k²)=|k|, với k=7>0 ⇒ 7.",Nhớ: √(a²)=|a|.,Ở đây k>0 nên |k|=k.,Kết luận.
Toán 9,alg_root,3,Rút gọn: √784,29,28,784,27,B,"√(k²)=|k|, với k=28>0 ⇒ 28.",Nhớ: √(a²)=|a|.,Ở đây k>0 nên |k|=k.,Kết luận.
Toán 9,alg_poly,1,Khai triển: (4x + 9)² bằng,16x² + 36x + 81,4x² + 72x + 81,16x² + 72x + 81,16x² - 72x + 81,C,(ax+b)² = a²x² + 2abx + b².,Dùng hằng đẳng thức (u+v)².,"u=ax, v=b.",Tính 2uv.
Toán 9,alg_poly,1,Khai triển: (4x + 3)² bằng,16x² + 12x + 9,16x² + 24x + 9,4x² + 24x + 9,16x² - 24x + 9,B,(ax+b)² = a²x² + 2abx + b².,Dùng hằng đẳng thức (u+v)².,"u=ax, v=b.",Tính 2uv.
Toán 9,alg_poly,1,Khai triển: (9x + 9)² bằng,81x² + 81x + 81,81x² + 162x + 81,81x² - 162x + 81,9x² + 162x + 81,B,(ax+b)² = a²x² + 2abx + b².,Dùng hằng đẳng thức (u+v)².,"u=ax, v=b.",Tính 2uv.
Toán 9,alg_poly,1,Khai triển: (3x + 9)² bằng,9x² + 54x + 81,9x² + 27x + 81,9x² - 54x + 81,3x² + 54x + 81,A,(ax+b)² = a²x² + 2abx + b².,Dùng hằng đẳng thức (u+v)².,"u=ax, v=b.",Tính 2uv.
Toán 9,alg_poly,1,Khai triển: (8x + 3)² bằng,8x² + 48x + 9,64x² + 24x + 9,64x² + 48x + 9,64x² - 48x + 9,C,(ax+b)² = a²x² + 2abx + b².,Dùng hằng đẳng thức (u+v)².,"u=ax, v=b.",Tính 2uv.
Toán 9,alg_poly,1,Khai triển: (4x + 9)² bằng,16x² - 72x + 81,16x² + 36x + 81,4x² + 72x + 81,16x² + 72x + 81,D,(ax+b)² = a²x² + 2abx + b².,Dùng hằng đẳng thức (u+v)².,"u=ax, v=b.",Tính 2uv.
Toán 9,alg_poly,1,Khai triển: (5x + 3)² bằng,25x² + 15x + 9,25x² - 30x + 9,25x² + 30x + 9,5x² + 30x + 9,C,(ax+b)² = a²x² + 2abx + b².,Dùng hằng đẳng thức (u+v)².,"u=ax, v=b.",Tính 2uv.
